fish	/fiʃ/	n.(pl.fish(es))鱼;鱼肉v.捕鱼;钓鱼
howl	/haul/	n.怒吼,嗥叫vi.(风等)怒吼,咆哮
huddle	/'hʌdl/	n./v.拥挤;聚集v.(因寒冷、害怕而)缩成一团
hug	/hʌɡ/	v./n.热烈拥抱,紧抱
huge	/hju:dʒ/	a.巨大的,庞大的
hum	/hʌm/	v.哼曲子;发嗡嗡声;忙碌n.嗡嗡声,嘈杂声
human	/'hju:mən/	a.人的,人类的n.人
humanity	/hju:'mænəti/	n.人类,人性,人情;(pl.)人文科学
humble	/ˈhʌmbl/	a.谦卑的,恭顺的;地位低下的v.降低,贬低
humid	/'hju:mid/	a.湿的,湿气重的
humidity	/hju:'midəti/	n.湿气,湿度
humiliate	/hju:'milieit/	v.使羞辱,使丢脸/同/disgrace
humor	/'hju:mə/	n.(humour)幽默,诙谐
humorous	/'hju:mərəs/	a.富于幽默感的,幽默的;滑稽的
hundred	/'hʌndrəd/	num.百,一百;/pl./许多a.一百的;许多
hunger	/'hʌŋɡə/	n./v.饥饿;渴望
hungry	/'hʌŋɡri/	a.饥饿的,渴望的
hunt	/hʌnt/	v./n.打猎,猎取;(for)搜索;寻找
hurl	/hə:l/	vt.猛投,力掷;大声叫骂
hurricane	/'hʌrikən/	n.飓风
hurry	/'hʌri,'hə:ri/	vi.匆忙vt.催促;急运(派)n.急(匆)忙
hurt	/hə:t/	n.伤痛,伤害v.刺痛,伤害;伤…的感情
husband	/'hʌzbənd/	n.丈夫
hut	/hʌt/	n.小屋,棚屋
hydrogen	/'haidrədʒən/	n.氢
hypocrisy	/hi'pɔkrisi/	n.伪善,虚伪
hypothesis	/hai'pɔθisis/	n.假说,假设,前提
hysterical	/hɪˈsterɪkl/	a.情绪异常激动的,歇斯底里的
I	/aɪ/	pron.(主格)我
ice	/ais/	n.冰;冰冻甜食vt.冰冻,使成冰
ice-cream	/'aiskri:m/	n.冰淇淋
idea	/ai'diə,'ai'diə/	n.想法,念头;概念,观念;意见,主意
ideal	/ai'diəl/	a.理想的;空想的;理想主义的;唯心的n.理想
identical	/ai'dentikəl/	a.(to.with)同一的,同样的
identification	/ai,dentifi'keiʃən/	n.识别,鉴别;证件;认同
identify	/ai'dentifai/	v.识别,鉴别;(with)把…和…看成一样
identity	/ai'dentəti/	n.身份;本体;特征;同一(性);一致;国籍;等式
ideology	/,aidi'ɔlədʒi,,idi-/	n.意识形态,(政治或社会的)思想意识
idiom	/'idiəm/	n.习语;成语方言;(艺术等的)风格,特色
idiot	/'idiət/	n.白痴;极蠢的人;笨蛋
idle	/'aidl/	a.空闲的,闲置的;懒散的v.空费,虚度
if	/ɪf/	conj.(用于连接宾语从句)是否;是不是
ignite	/iɡ'nait/	v.点火,引燃
ignorance	/'iɡnərəns/	n.无知,愚昧;不知道
ignorant	/'iɡnərənt/	a.无知的,愚昧的;不知道的
ignore	/iɡ'nɔ:/	v.不理,不顾,忽视
ill	/il/	a.有病的;坏的;恶意的ad.坏地;不利地
illegal	/ɪˈliːɡl/	a.不合法的,非法的
illiterate	/i'litərət/	a.文盲的,未受教育的
illness	/'ilnis/	n.病,疾病
illuminate	/i'lju:mineit/	vt.照亮,照明;用灯光装饰;说明,阐释
illusion	/i'lju:ʒən/	n.幻想,错误的观念;错觉,幻觉,假象
illustrate	/'iləstreit/	v.举例说明,阐明;图解,加插图
illustration	/,ilə'streiʃən/	n.说明;例证,插图;举例说明
image	/'imidʒ/	n.形象,声誉;印象;像;形象的描述,比喻
imaginary	/i'mædʒinəri/	a.想象的,虚构的
imagination	/i,mædʒi'neiʃən/	n.想象(力);空想,幻觉;想象出来的事物
imaginative	/i'mædʒinətiv/	a.富有想象力的,爱想象的
imagine	/i'mædʒin/	v.想象,设想,料想
imitate	/'imiteit/	v.模仿,仿效;仿造,伪造
imitation	/,imi'teiʃən/	n.模仿,仿效;仿制;仿造品
immediate	/i'mi:diət/	a.立即的,即时的;直接的,最接近的
immense	/i'mens/	a.广大的,巨大的;/口/极好的
immerse	/i'mə:s/	v.使沉浸在;使浸没
immigrant	/'imiɡrənt/	a.(从国外)移来的,移民的n.移民,侨民
immune	/i'mju:n/	a.免疫的,有免疫力的;不受影响的;豁免的
impact	/'impækt,im'pækt/	n.冲击,碰撞;影响v.影响;挤入,压紧
impair	/im'pεə/	v.损害,损伤;削弱,减少
impart	/im'pɑ:t/	vt.传授,给予;告知,通知
impatient	/im'peiʃənt/	a.不耐烦的,急躁的
imperative	/im'perətiv/	n.命令;需要;规则;祈使语气a.强制的;紧急的
imperial	/im'piəriəl/	a.帝国的,帝王的;(度量衡)英制的
impetus	/ˈɪmpɪtəs/	n.推动(力),促进
implement	/'impliment/	n.(pl.)工具,器具v.贯彻,实现
implication	/,impli'keiʃən/	n.含意,暗示,暗指;牵连
implicit	/im'plisit/	a.含蓄的;(in)固有的;无疑问的;绝对的
imply	/im'plai/	v.意指,含…意思,暗示
import	/im'pɔ:t,'impɔ:t/	v./n.进口,输入,(pl.)进口商品;要旨,含意
importance	/im'pɔ:təns/	n.重要,重要性
important	/im'pɔ:tənt/	a.重要的,重大的;有地位的,有权力的
impose	/im'pəuz/	v.征(税);(on)把…强加给
impossible	/im'pɔsəbl/	a.不可能的;难以忍受的,很难对付的
impress	/im'pres,'impres/	v.(on)印,盖印;留下印象,引人注目
impression	/im'preʃən/	n.印象,感想;盖印,压痕
impressive	/im'presiv/	a.给人深刻印象的,感人的
improve	/im'pru:v/	v.改善,改进,增进;好转,进步
improvement	/im'pru:vmənt/	n.改进,进步,增进;改进措施
impulse	/'impʌls/	v.推动n.推动;冲动,刺激
in	/in/	prep.在…里(内,上);用…(表示)ad.进,入
incentive	/in'sentiv/	n.刺激;动力;鼓励;诱因;动机
inch	/intʃ/	n.英寸
incidence	/'insidəns/	n.影响程度,影响范围;发生率
incident	/'insidənt/	n.事件,事变
incidentally	/,insi'dentəli/	ad.附带地,顺便提及
incline	/in'klain/	v.(使)倾斜;(使)倾向于n.斜坡,斜面
include	/in'klu:d/	v.包括,包含,计入
inclusive	/in'klu:siv/	a.(of)包括的,包含的;范围广的
income	/'inkʌm/	n.收入,收益,所得
incorporate	/in'kɔ:pəreit/	v.合并,纳入,结合a.合并的
increase	/in'kri:s,'inkri:s/	v./n.增加,增长,增进
increasingly	/in'kri:siŋli/	ad.不断增加地,日益
incredible	/in'kredəbl/	a.不可相信的,惊人的,不可思议的
incur	/in'kə:/	v.招致,惹起,遭受
indeed	/in'di:d/	ad.确实,实在;真正地,多么
independence	/,indi'pendəns/	n.独立,自主
independent	/,indi'pendənt/	a.(of)独立的,自主的
index	/'indeks/	n.(pl.indexes,indices)索引v.附以索引
indicate	/'indikeit/	v.指出,指示;表明,暗示
indication	/,indi'keiʃən/	n.指出,指示;表明,暗示
indicative	/in'dikətiv/	a.(of)指示的,暗示的
indifferent	/in'difərənt/	a.冷漠的,不关心的,不积极的
indignant	/in'diɡnənt/	a.愤慨的,愤慨不平的
indignation	/,indiɡ'neiʃən/	n.愤怒,愤慨
indispensable	/,indis'pensəbl/	a.(to,for)必不可少的,必需的
individual	/,indi'vidjuəl,-dʒəl/	a.个人的,单独的;独特的n.个人,个体
indoor	/'indɔ:/	a.室内的,户内的
induce	/in'dju:s,in'du:s/	v.引诱,劝使;引起,导致;感应
indulge	/in'dʌldʒ/	v.放任,纵容,沉溺;使(自己)纵情享受
industrial	/in'dʌstriəl/	a.工业的,产业的
industrialize	/in'dʌtriəlaiz/	v.(industrialise)(使)工业化
industry	/'indəstri/	n.工业,产业;勤劳,勤奋
inertia	/i'nə:ʃiə/	n.不活动,惰性;惯性
inevitable	/in'evitəbl/	a.不可避免的,必然发生的
infant	/'infənt/	n.婴儿,幼儿
infect	/in'fekt/	vt.传染,感染;影响(思想等)
infectious	/in'fekʃəs/	a.传染的,传染性的,有感染力的
infer	/in'fə:/	v.推论,推断
inference	/'infərəns/	n.推论,推理,推断;结论
inferior	/in'fiəriə/	a.下等的,下级的;劣等的,差的n.下级,晚辈
infinite	/'infinət/	a.无限的,无穷的n.无限
inflation	/in'fleiʃən/	n.通货膨胀
influence	/'influəns/	n.(on)影响,感化;势力,权势v.影响,感化
influential	/,influ'enʃəl/	a.有影响的;有权势的
inform	/in'fɔ:m/	v.(of,about)通知,告诉,报告;告发,告密
information	/,infə'meiʃən/	n.通知,报告;情报,资料,消息;信息
infrared	/,infrə'red/	a./n.红外线(的)
infrastructure	/'infrə,strʌktʃə/	n.基础结构,基础设施
ingenious	/in'dʒi:njəs/	a.机敏的;有独创性的;精致的;精巧制成的
ingredient	/in'ɡri:diənt/	n.(混合物的)组成部分,配料;成份,要素
inhabit	/in'hæbit/	vt.居住于,存在于;栖息于
inhabitant	/in'hæbitənt/	n.居民,住户
inhale	/in'heil/	v.吸入(气体等),吸(烟)
inherent	/in'hiərənt/	a.固有的,内在的,天生的
inherit	/in'herit/	vt.继承(金钱等),经遗传而得(性格、特征)
inhibit	/in'hibit/	vt.抑制,约束
initial	/i'niʃəl/	a.最初的,开头的;词首的n.词首大写字母
initiate	/i'niʃieit,i'niʃiət,-eit/	vt.开始,创始,发动;启蒙,使入门;引入
initiative	/i'niʃiətiv,-ʃətiv/	a.创始的,起始的n.第一步,创始,主动精神
inject	/in'dʒekt/	vt.注射(药液等);注入
injure	/'indʒə/	v.损害,损伤,伤害
injury	/'indʒəri/	n.伤害,损害
ink	/iŋk/	n.墨水,油墨
inland	/'inlənd,-lænd/	a./ad.国内,内地,内陆
inlet	/'inlet,-lit,in'let/	n.水湾,小湾;进口,入口
inn	/in/	n.小旅馆,客栈
inner	/'inə/	a.内部的,里面的;内心的
innocent	/'inəsənt/	a.(of)清白的,无罪的;无害的;单纯的,无知的
innovation	/,inəu'veiʃən/	n.改革,革新;新观念,新方法,新发明
innumerable	/i'nuj:mərəbl/	a.无数的,数不清的
input	/'input/	n./v.输入
inquiry	/in'kwaiəri/	n.(enquiry)询问,打听,调查
insect	/'insekt/	n.昆虫
insert	/in'sə:t,'insə:t/	v.插入,嵌入;登载n.插入物
inside	/,in'said,'in-/	a.里面的ad.在里面n.内部prep.在…里
insight	/'insait/	n.洞察力,见识
insist	/in'sist/	vi.(on)坚持要求,坚决主张,坚持
inspect	/in'spekt/	vt.检查,调查,视察
inspiration	/,inspə'reiʃən/	n.灵感;鼓舞,激励
inspire	/in'spaiə/	vt.鼓舞,激起;使产生灵感
install	/in'stɔ:l/	vt.(instal)安装,设置,安置;使就职,任命
installation	/,instə'leiʃən/	n.安装,设置;装置,设备
installment	/in'stɔ:lmənt/	n.(instalment)分期付款;(连载的)一期
instance	/'instəns/	n.例子,事例,例证
instant	/'instənt/	a.立即的;紧迫的;(食品)速溶的n.瞬间,时刻
instantaneous	/,instən'teinjəs/	a.瞬间的,即刻的
instead	/in'sted/	ad.代替,顶替
instinct	/'instiŋkt/	n.本能,直觉,天性
institute	/'institjut,-tu:t/	n.学会,研究所;学院v.设立,设置,制定
institution	/,insti'tju:ʃən/	n.公共机构;协会;学校;研究所;制度;惯例
instruct	/in'strʌkt/	v.教,教授;命令,指示
instruction	/in'strʌkʃən/	n.教授;指导;(pl.)用法说明(书),操作指南
instrument	/'instrumənt/	n.工具,仪器,器械;乐器
instrumental	/,instru'mentəl/	a.仪器的;器械的;乐器的;起作用的;有帮助的
insulate	/'insjuleit,'insə-/	vt.隔离,孤立;使绝缘,使绝热
insult	/in'sʌlt/	vt./n.侮辱,凌辱
insurance	/in'ʃuərəns/	n.保险,保险费,保险业
insure	/in'ʃuə/	vt.保险,给…保险;保证
intact	/in'tækt/	a.完整无缺的,未经触动的,未受损伤的
integral	/'intiɡrəl/	a.构成整体所必需的;完整的
integrate	/'intiɡreit/	v.(into,with)(使)成为一体,(使)结合在一起
integrity	/in'teɡrəti/	n.正直,诚实;完整,完全
intellectual	/,intə'lektjuəl/	n.知识分子a.智力的,理智的,有理解力的
intelligence	/in'telidʒəns/	n.智力,聪明;理解力;情报,消息,报导
intelligent	/in'telidʒent/	a.聪明的,明智的,理智的
intelligible	/in'telidʒəbl/	a.可理解的,明白易懂的,清楚的
intend	/in'tend/	vt.想要,打算,企图
intense	/in'tens/	a.强烈的,剧烈的;热烈的,热情的
intensity	/in'tensəti/	n.强烈,剧烈;强度
intensive	/in'tensiv/	a.加强的,集中的,深入细致的,精耕细作的
intention	/in'tenʃən/	n.意图,意向,目的
interact	/'intərækt/	v.互相作用,互相影响
intercourse	/'intəkɔ:s/	n.交流,交往,交际,性交
interest	/'intrist,'intər-/	n.(in)兴趣,重要性;利益v.(in)使发生兴趣
interesting	/'intristiŋ,'intər-/	a.有趣的,引人入胜的
interface	/'intəfeis/	n.接合部位,分界面v.(使)互相联系
interfere	/,intə'fiə/	v.(in)干涉,干预;(with)妨碍,打扰
interference	/,intə'fiərəns/	n.(in)干涉,干预;(with)妨碍,打扰
interim	/'intərim/	a.中间的,暂时的,临时的n.过渡时期,暂定
interior	/in'tiəriə/	a.内部的,里面的n.内部,内地
intermediate	/,intə'mi:djət,-dieit/	a.中间的,居间的;中级的n.中间体,媒介物
intermittent	/,intə'mitənt/	a.间歇的,断断续续的
internal	/in'tə:nəl/	a.内部的,内的;国内的,内政的
international	/,intə'næʃənəl/	a.国际的,世界(性)的,跨国的
internet	/'intənet/	n./the～/国际互联网,因特网
interpret	/in'tə:prit/	vt.解释,说明;口译
interrupt	/ˌɪntəˈrʌpt/	v.中断,遮断,阻碍;打断(话),打扰
intersection	/,intə'sekʃən/	n.相交,交叉;道路交叉口,十字路口
interval	/'intəvəl/	n.间隔,间歇;(幕间或工间)休息
intervene	/,intə'vi:n/	v.(in)干涉,干预;插入,介入
interview	/'intəvju:/	v./n.接见,会见;采访;面试
intimate	/'intimət/	a.亲密的,密切的n.熟友,熟人
intimidate	/in'timideit/	vt.胁迫,威胁(某人做某事)
into	/'intu:,-tu,-tə/	prep.到...里面,进入;成为(表示变化)
intricate	/'intrikət/	a.复杂的,错综的,难以理解的
intrigue	/in'tri:ɡ,'in-/	n.阴谋v.密谋,私通;激起…的兴趣;诡计取得
intrinsic	/in'trinsik,-kəl/	a.(指价值、性质)固有的,本质的,内在的
introduce	/,intrə'dju:s/	vt.介绍;引进,传入;提出(议案等)
introduction	/,intrə'dʌkʃən/	n.(to)介绍;传入,引进;导言,导论,绪论
intrude	/in'tru:d/	vi.闯入,侵入vt.把(思想等)强加于人;强挤入
intuition	/,intju:'iʃən/	n.直觉,直观;凭直觉而知的事物
invade	/in'veid/	vt.入侵,侵略,侵袭,侵扰
invalid	/'invəli:d/	n.病人,伤残人/ɪnˈvælɪd/a.有病的,伤残的;无效的
invaluable	/in'væljuəbl/	a.非常宝贵的,无价的
invariably	/ɪnˈveriəbli/	ad.不变地,永恒地,总是
invasion	/in'veiʒən/	n.入侵,侵略,侵犯
invent	/in'vent/	v.发明,创造;捏造,虚构
invention	/in'venʃən/	n.发明,创造,发明物
inventory	/'invəntəri,-tɔ:ri/	n.详细目录,存货,财产清册,总量
inverse	/'invə:s,in'v-,in'və:s/	a.相反的,倒转的,反转的n.相反之物v.倒转
invert	/in'və:t,'invə:t/	v.倒置,倒转,颠倒
invest	/in'vest/	vt.投资,投入(精力、时间等)
investigate	/in'vestiɡeit/	v.调查,调查研究
investment	/in'vestmənt/	n.投资,投资额
invisible	/in'vizəbl/	a.看不见的,无形的
invitation	/,invi'teiʃən/	n.邀请,招待;请柬
invite	/in'vait,'invait/	vt.邀请,招待
involve	/in'vɔlv/	v.卷入,陷入,连累;包含,含有,涉及
inward	/'inwəd/	ad.向内,在内a.向内的,在内的,里面的
iron	/'aiən/	n.铁,铁制品,烙铁,熨斗v.熨(衣),熨平
irony	/'aiərəni/	n.反话,讽刺,讽刺之事
irrespective	/,iri'spektiv/	a.不顾的,不考虑的,无关的
irrigate	/'iriɡeit/	vt.灌溉,修水利vi.进行灌溉
irritate	/'iriteit/	vt.激怒,恼火,使急躁
island	/'ailənd/	n.岛,岛屿;(道路上的)交通安全岛
isle	/ail/	n.小岛(用于诗歌中)
isolate	/'aisəleit,-lit/	vt.隔离,孤立
issue	/'iʃju:,'isju:/	n.问题,争端,发行(物),期号vt.发行,流出
it	/it/	pron.它;/作无人称动词的主语/
item	/'aitəm/	n.条(款),项目;一则(新闻),(戏剧的)节目
its	/its/	pron./it的所有格/它的
itself	/it'self/	pron.(it的反身代词)它自己,它本身
jacket	/'dʒækit/	n.短上衣,茄克衫
jam	/dʒæm/	n.阻塞,轧住;果酱v.(使)阻塞,(使)轧住不动
January	/ˈdʒænjueri/	n.一月
jar	/dʒɑ:/	n.罐坛,广口瓶
jargon	/'dʒɑ:ɡən,-ɡɔn/	n.行话
jaw	/dʒɔ:/	n.颌,颚
jazz	/dʒæz/	n.爵士乐
jealous	/'dʒeləs/	a.(of)妒忌的;猜疑的,警惕的
jeans	/dʒiːnz/	n.牛仔裤（又称bluejeans,dungarees等）
jet	/dʒet/	n.喷气发动机,喷气式飞机;喷口v.喷出,喷射
jewel	/'dʒu:əl/	n.宝石,宝石饰物
jewelry	/'dʒu:əlri/	n.(jewllery)(总称)珠宝
job	/dʒɔb/	n.工作,职位;零活,一件工作;任务,职责
jog	/dʒɔɡ/	v.慢跑
join	/dʒɔin/	v.参加,加入;联合,连接;和…在一起
joint	/dʒɔint/	n.接合处,接头;关节a.联合的,共同的,连接的
joke	/dʒəuk/	n.笑话,玩笑v.说笑话,开玩笑
jolly	/'dʒɔli/	a.欢乐的,高兴的
journal	/'dʒə:nəl/	n.定期刊物,杂志,日报;日志,日记
journalist	/'dʒə:nəlist/	n.记者,新闻工作者
journey	/'dʒə:ni/	n.旅行,旅程v.旅行
joy	/dʒɔi/	n.欢乐,喜悦;乐事,乐趣
judge	/dʒʌdʒ/	n.法官;裁判员;鉴定人vt.审判;评论,裁判
judgement	/'dʒʌdʒmənt/	n.(judgment)审判,判决;判断(力);看法,意见
judicial	/dʒu:'diʃəl/	a.司法的,法庭的,审判的;明断的,公正的
jug	/dʒʌɡ/	n.(有柄,小口,可盛水等的)大壶,罐,盂
juice	/dʒu:s/	n.(水果等)汁,液
July	/dʒuˈlaɪ/	n.七月
jump	/dʒʌmp/	v./n.跳跃,跳动,跳过;暴涨,猛增
junction	/'dʒʌŋkʃən/	n.连接,接合,交叉点,枢纽站,接头,中继线
June	/dʒuːn/	n.六月
jungle	/'dʒʌŋɡl/	n.丛林,生死地带
junior	/'dʒu:njə/	a./n.年少的/者,三年级的/学生,下级(的)
junk	/dʒʌŋk/	n.废物,旧货;舢板
jury	/'dʒuəri/	n.陪审团;全体评审员
just	/dʒʌst/	ad.正好地;刚才;只不过a.公正的,公平的
justice	/'dʒʌstis/	n.公正,公平;审判,司法
justify	/'dʒʌstifai/	v.证明...正当(或有理、正确),为...辩护
juvenile	/'dʒu:vənail,-nil/	n.青少年,少年读物a.青少年的,幼稚的
keen	/ki:n/	a.锋利的;敏锐的;敏捷的;(on)热心的,渴望的
keep	/ki:p/	v.保持,保存,遵守,经营,看守,拘留,维持
kettle	/'ketl/	n.水壶
key	/ki:/	n.钥匙;答案;关键;键a.主要的,关键的
keyboard	/'ki:bɔ:d/	n.键盘vt.用键盘输入(信息)
kick	/kik/	n./v.踢
kid	/kid/	n.小孩,儿童v.戏弄,取笑
kidnap	/'kidnæp/	vt.诱拐;绑架,劫持
kidney	/'kidni/	n.肾,肾脏
kill	/kil/	vt.杀死,消灭;破坏,毁灭;消磨(时间)
kilo	/'ki:ləu,'ki-/	n.(kilogram/kilogramme)千克
kilometer	/ˈkɪləˌmitɚ; kəˈlɑmətɚ/	n.(kilometer)公里,千米(略作km)
kin	/kin/	n.家族,亲属,血缘关系a.亲属关系的,同类的
kind	/kaind/	a.仁慈的,友好的,亲切的,和蔼n.种类
kindergarten	/ˈkɪndərɡɑːrtn/	n.幼儿园
kindness	/'kaindnis/	n.仁慈,亲切;好意;友好行为
king	/kiŋ/	n.君主,国王
kingdom	/'kiŋdəm/	n.王国,领域
kiss	/kis/	n./v.吻,接吻
kit	/kit/	n.成套工具,用具包,工具箱
kitchen	/'kitʃin/	n.厨房
kite	/kait/	n.风筝
knee	/ni:/	n.膝,膝盖
kneel	/ni:l/	v.跪,下跪
knife	/naif/	n.刀,餐刀v.用刀切,用匕首刺
knit	/nit/	v.编织,编结;接合,粘合
knob	/nɔb/	n.门把,(球形)把手,旋纽
knock	/nɔk/	v.敲,敲打,碰撞n.敲,击
knot	/nɔt/	n.(绳)结;(树)节;节(=海里/小时)v.打结
know	/nəu/	vt.知道,了解;认识;识别vi.知道,了解
knowledge	/'nɔlidʒ/	n.知识,学识;知道,了解
lab	/læb/	n.(laboratory)实验室
label	/'leibl/	n.标签v.把...称为;用标签于;用标签标明
labor	/'leibɚ/	n.(labour)工作,劳动;劳力v.劳动,苦干
lace	/leis/	n.花边;带子,鞋带v.系带,扎带
lack	/læk/	n./v.缺乏,不足
lad	/læd/	n.男孩,小伙子
ladder	/'lædə/	n.梯子,阶梯
lady	/'leidi/	n.女士,夫人
lag	/læɡ/	v./n.落后,滞后vt.用隔热材料覆盖(锅炉等)
lake	/leik/	n.湖泊,湖水
lamb	/læm/	n.羔羊,小羊;羔羊肉
lame	/leim/	a.跛的,(辩解、论据等)无说服力的
lamp	/læmp/	n.灯
land	/lænd/	n.陆地,土地,国家v.(使)靠岸(登陆,降落)
landlady	/'lænd,leidi/	n.女房东,女地主
landlord	/'lændlɔ:d/	n.房东,地主
lane	/lein/	n.小路,小巷,行车道
language	/'læŋɡwidʒ/	n.语言,术语,(运用语言的)方式、风格
lantern	/'læntən/	n.灯,灯笼
lap	/læp/	n.大腿,(跑道的)一圈,一段路程,工作阶段
lapse	/læps/	n.失误,流逝,丧失,下降v.失效,偏离,流逝
laptop	/'læptɔp/	n.膝上型电脑
large	/lɑ:dʒ/	a.大的,广大的,大规模的
largely	/'lɑ:dʒli/	ad.主要地,基本上;大量地,大规模地
laser	/'leizə/	n.激光
lash	/læʃ/	v.鞭打,摆动,捆扎n.鞭子,鞭打,睫毛,讽刺
last	/lɑ:st,læst/	a.最后的,刚过去的ad.最后n.最后v.持续
late	/leit/	a.迟的,晚的,晚期的;已故的ad.迟,晚
lately	/'leitli/	ad.最近,不久前
latent	/'leitənt/	a.潜在的,潜伏的,不易察觉的
later	/'leitə/	ad.后来,过后
lateral	/'lætərəl/	n.侧面的,旁边的
Latin	/ˈlætɪn/	a.拉丁的,拉丁文的n.拉丁语
latitude	/'lætitju:d/	n.纬度,行动或言论的自由(范围),(pl.)地区
latter	/'lætə/	a.后者的;后一半的,接近终了的n.后者
laugh	/lɑ:f,læf/	v.笑;(on)讥笑n.笑,笑声
laughter	/'lɑ:ftə,'læf-/	n.笑,笑声
launch	/lɔ:ntʃ,lɑ:ntʃ/	v.发射;使(船)下水,发动,开展n.发射,下水
laundry	/'lɔ:ndri,'lɑ:n-/	n.洗衣房(店);待洗衣物,所洗衣物
lavatory	/'lævətəri,-,tɔ:ri/	n.厕所,盥洗室
law	/lɔ:/	n.法律,法规,法学,规律,定律
lawn	/lɔ:n/	n.草地,草坪
lawyer	/'lɔ:jə/	n.律师
lay	/lei/	v.放,搁;下(蛋);铺设,敷设;设置,布置
layer	/'leiə/	n.层,层次;铺设者
layman	/'leimən/	n.外行
layoff	/'leiɔf/	n.临时解雇,操作停止,活动停止期间,失业期
layout	/ˈleɪaʊt/	n.安排,布局,设计;规划图,布局图
lazy	/'leizi/	a.懒惰的,懒散的
lead	/li:d/	v.领导;领先;通向,导致n.带领,引导;铅
leadership	/'li:dəʃip/	n.领导阶层,领导能力
leading	/'lidɪŋ/	a.领导的,指导的;第一位的;最主要的
leaf	/li:f/	n.叶子;(书刊的)一页,一张;金属薄片
leaflet	/'li:flit/	n.小叶,嫩叶;传单,活页
league	/li:ɡ/	n.同盟,联盟;联合会,社团
leak	/li:k/	v.漏,泄漏n.漏洞,漏隙;泄漏,漏出
lean	/li:n/	v.倾斜,屈身;倚,靠,依赖a.瘦的,无脂肪的
leap	/li:p/	v.跳,跳跃n.跳跃,飞跃
learn	/lə:n/	v.学习,学,学会;(of,about)听到,获悉
learned	/'lə:nid/	a.博学的,有学问的
learning	/'lə:niŋ/	n.知识,学问;学习
lease	/li:s/	vt.出租,租用n.租借,租期,租赁物
least	/li:st/	a.最小的;最少的ad.最小;最少
leather	/'leðə/	n.皮革,皮革制品
leave	/li:v/	v.离开;留下,忘带;让,听任;交付n.许可;假期
lecture	/'lektʃə/	n./v.演讲,讲课
left	/left/	n.左面,左方a.左边的,左面的;在左方的
leg	/leɡ/	n.腿,腿部;支柱;(旅程的)一段,一站
legacy	/'leɡəsi/	n.遗产,遗赠;先人(或过去)留下的东西
legal	/'li:ɡəl/	a.法律的,法定的;合法的,正当的
legend	/'ledʒənd/	n.传说,传奇
legislation	/,ledʒis'leiʃən/	n.法律(规);立法,法律的制定(或通过)
legitimate	/li'dʒitimət/	a.合法的;合理的,合乎逻辑的vt.使合法
leisure	/'leʒə/	n.空闲,闲暇;悠闲,安逸
lemon	/'lemən/	n.柠檬
lend	/lend/	vt.借给,贷(款)
length	/leŋθ,leŋkθ/	n.长,长度;一段,一节,程度,范围
lens	/lenz/	n.透镜,镜头
less	/les/	a./ad.更少的(地),更小的(地)
lesson	/'lesən/	n.(功)课;/pl./课程;教训
lest	/lest/	conj.惟恐,免得
let	/let/	v.让,允许,听任;设,假设;出租,租给
letter	/'letə/	n.信,函件;字母,文字
level	/'levəl/	n.水平,水准,等级v.弄平,铺平a.水平的
lever	/'li:və,'le-/	n.杆,杠杆,手段,途径,工具
levy	/'levi/	n.征收,征税,征兵v.征收,征集,征用
liability	/,laiə'biləti/	n.责任,义务;(pl.)债务
liable	/'laiəbl/	a.有...倾向的;可能遭受...的;有责任的
liberal	/'libərəl/	a.慷慨的,大方的;富足的;自由的,思想开放的
liberate	/'libəreit/	vt.解放,释放
liberty	/'libəti/	n.自由,自由权;特权
librarian	/lai'brεəriən/	n.图书管理员
library	/'laibrəri/	n.图书馆;藏书室;藏书,丛书,文库
license	/'laisəns/	n.(licence)许可证,执照v.准许,认可
lick	/lik/	vt.舔;(火焰或浪)掠过;打败n.舔;少量
lid	/lid/	n.盖
lie	/lai/	vi.躺,平放;处于;位于v.说谎n.谎话
life	/laif/	n.生命,生存;一生,寿命;生活;生物
lifetime	/'laiftaim/	n.一生,终生
lift	/lift/	v.升起,举起,消散n.电梯,上升,免费搭车
light	/'lait/	n.光;灯v.点燃;照亮a.轻(快);淡;明亮
lightning	/'laitniŋ/	n.闪电a.闪电般的,快速的
like	/laik/	v.喜欢prep.像;比如a.相像的n.像…一样
likelihood	/'laiklihud/	n.可能性
likely	/'laikli/	a.很可能的,有希望的ad.大概,多半
likewise	/'laikwaiz/	ad.同样地,照样地;又,也,而且
limb	/lim/	n.肢,翼,大树枝
limit	/'limit/	n.界限,限度,范围v.(to)限制,限定
limitation	/,limi'teiʃən/	n.限制,局限性
limited	/'limitid/	a.有限的,被限制的
limp	/limp/	a.柔软的,易曲的v./n.蹒跚,跛行
line	/lain/	n.线;路线,航线;排;线路;界线v.排队;加衬
linear	/'liniə/	a.线的,直线的,线状的;长度的;线性的
linen	/'linin/	n.亚麻布,亚麻布制品
liner	/'lainə/	n.班机,定期轮船,邮船
linger	/'liŋɡə/	v.逗留,徘徊,拖延,留恋,浪费光阴,苟延残喘
linguistic	/liŋ'ɡwistik,-kəl/	a.语言的,语言学的
link	/liŋk/	v.连接,联系n.环节,链环
lion	/'laiən/	n.狮子
lip	/lip/	n.嘴唇
liquid	/'likwid/	n.液体a.液体的,液态的
liquor	/'likə/	n.酒;溶液,液剂
list	/list/	n.表,目录,名单v.把…编列成表,列入表内
